Component;Java;Maven;Properties;Stylesheet
org.opendaylight.controller:netty-threadgroup-config;90.0;75.0;0.0;0.0
org.opendaylight.controller:sal-dummy-distributed-datastore;220.0;157.0;6.0;0.0
org.opendaylight.controller:threadpool-config-impl;180.0;57.0;0.0;0.0
org.opendaylight.controller:config-it-base;172.0;104.0;1.0;0.0
org.opendaylight.controller.samples:sample-toaster-provider;290.0;95.0;0.0;0.0
org.opendaylight.controller:sal-distributed-datastore;28161.0;290.0;0.0;0.0
org.opendaylight.controller:sal-binding-api;701.0;85.0;0.0;0.0
org.opendaylight.controller:config-util;1554.0;68.0;0.0;0.0
org.opendaylight.controller:sal-akka-raft-example;0.0;72.0;1.0;0.0
org.opendaylight.controller:sal-cluster-admin-impl;578.0;163.0;0.0;0.0
org.opendaylight.controller:shutdown-api;5.0;34.0;0.0;0.0
org.opendaylight.controller:threadpool-config-api;12.0;39.0;0.0;0.0
org.opendaylight.controller:ntfbenchmark;254.0;50.0;0.0;0.0
org.opendaylight.controller:mdsal-trace-dom-impl;763.0;102.0;0.0;0.0
org.opendaylight.controller:sal-connector-api;122.0;76.0;0.0;0.0
org.opendaylight.controller.samples:sample-toaster-consumer;120.0;71.0;0.0;0.0
org.opendaylight.controller:config-persister-feature-adapter;739.0;75.0;0.0;0.0
org.opendaylight.controller:yang-jmx-generator;2368.0;76.0;0.0;0.0
org.opendaylight.controller:cds-dom-api;45.0;74.0;0.0;0.0
org.opendaylight.controller:mdsal-it-base;60.0;89.0;0.0;0.0
org.opendaylight.controller:netty-event-executor-config;147.0;74.0;0.0;0.0
org.opendaylight.controller:messagebus-spi;19.0;49.0;0.0;0.0
org.opendaylight.controller:dsbenchmark;1429.0;57.0;0.0;0.0
org.opendaylight.controller:sal-dom-config;138.0;81.0;0.0;0.0
org.opendaylight.controller:config-persister-directory-xml-adapter;161.0;85.0;0.0;0.0
org.opendaylight.controller:sal-binding-config;299.0;95.0;0.0;0.0
org.opendaylight.controller:mdsal-trace-api;6.0;70.0;0.0;0.0
org.opendaylight.controller:sal-common-impl;619.0;102.0;0.0;0.0
org.opendaylight.controller:blueprint;2596.0;151.0;0.0;0.0
org.opendaylight.controller:sal-core-spi;1407.0;61.0;0.0;0.0
org.opendaylight.controller:sal-core-api;794.0;93.0;0.0;0.0
org.opendaylight.controller:sal-binding-broker-impl;3435.0;188.0;0.0;0.0
org.opendaylight.controller:sal-broker-impl;3819.0;159.0;0.0;0.0
org.opendaylight.controller.samples:clustering-it-provider;2439.0;48.0;0.0;0.0
org.opendaylight.controller:mdsal-trace-cli;23.0;78.0;0.0;0.0
org.opendaylight.controller:cds-access-api;3370.0;89.0;0.0;0.0
org.opendaylight.controller:sal-inmemory-datastore;1240.0;161.0;0.0;0.0
org.opendaylight.controller:config-persister-impl;775.0;71.0;0.0;0.0
org.opendaylight.controller:sal-common-util;444.0;78.0;0.0;0.0
org.opendaylight.controller:messagebus-impl;443.0;78.0;0.0;0.0
org.opendaylight.controller:config-api;1119.0;57.0;0.0;0.0
org.opendaylight.controller:sal-akka-raft;7735.0;152.0;0.0;0.0
org.opendaylight.controller:rpcbenchmark;313.0;50.0;0.0;0.0
org.opendaylight.controller:sal-clustering-commons;4511.0;198.0;0.0;0.0
org.opendaylight.controller:config-manager-facade-xml;4849.0;61.0;0.0;0.0
org.opendaylight.controller:sal-schema-service;98.0;69.0;0.0;0.0
org.opendaylight.controller:netty-timer-config;130.0;82.0;0.0;0.0
org.opendaylight.controller:sal-common-api;522.0;56.0;0.0;0.0
org.opendaylight.controller:sal-remoterpc-connector;1768.0;201.0;0.0;0.0
org.opendaylight.controller:liblldp;1692.0;58.0;0.0;0.0
org.opendaylight.controller:sal-dom-broker-config;333.0;68.0;0.0;0.0
org.opendaylight.controller:shutdown-impl;205.0;58.0;0.0;0.0
org.opendaylight.controller:cds-access-client;1770.0;107.0;0.0;0.0
org.opendaylight.controller:config-persister-api;64.0;51.0;0.0;0.0
org.opendaylight.controller:messagebus-util;111.0;78.0;0.0;0.0
org.opendaylight.controller:sal-binding-util;231.0;54.0;0.0;0.0
org.opendaylight.controller:config-manager;5001.0;99.0;0.0;0.0
org.opendaylight.controller:config-persister-file-xml-adapter;372.0;73.0;0.0;0.0
